
2024/11/06 (12:44:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (15:20:56) | ===> btop++ v.1.4.0
2024/11/06 (15:20:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/06 (15:20:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (00:20:49) | ===> btop++ v.1.4.0
2024/11/12 (00:20:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/12 (00:20:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:52:08) | ===> btop++ v.1.4.0
2024/11/12 (01:52:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/12 (01:52:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (01:52:13) | ===> btop++ v.1.4.0
2024/11/12 (01:52:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/12 (01:52:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:02:47) | ===> btop++ v.1.4.0
2024/11/14 (01:02:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (01:02:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (19:54:50) | ===> btop++ v.1.4.0
2024/11/14 (19:54:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (19:54:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (19:56:59) | ===> btop++ v.1.4.0
2024/11/14 (19:56:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (19:56:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (19:58:24) | ===> btop++ v.1.4.0
2024/11/14 (19:58:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/14 (19:58:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (20:04:58) | ===> btop++ v.1.4.0
